name,country,region,climate_zone,period_start,year,period_of_year,ndvi_zscore,stress,gap_days,NDVI_lag1,EVI_lag1,SAVI_lag1,NDMI_lag1,ndvi_trend,evi_trend,tmax_mean,tmin_mean,precip_sum,humidity_mean,et0_sum,heat_days,dry_days,frost_days,lat,lon,month_sin,month_cos
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2020-12-21,2020,22,0.546177198614294,0,16.0,0.5830775657599016,0.4642157256240684,0.4103049090955795,0.0699448657254715,0.033940191935877384,-0.03938955882904133,18.15,11.24375,98.8,81.8125,55.18,0.0,9.0,0.0,-39.34,174.28,-2.4492935982947064e-16,1.0
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2021-01-06,2021,0,-0.4122943585027028,0,16.0,0.5711737523034572,0.4499993696598175,0.3938401792474738,0.0654918205257958,-0.011903813456444312,-0.01421635596425086,17.735714285714288,11.25,42.3,80.78571428571429,47.76,0.0,9.0,0.0,-39.34,174.28,0.49999999999999994,0.8660254037844387
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2021-01-22,2021,1,1.8101703306461228,0,16.0,0.5419520448156812,0.3832879902083276,0.3234929745472545,0.0841527317607488,-0.029221707487776083,-0.06671137945148992,20.71875,13.43125,70.7,83.8125,59.59,0.0,6.0,0.0,-39.34,174.28,0.49999999999999994,0.8660254037844387
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2021-02-07,2021,2,0.6795552721010325,0,16.0,0.5496438642736111,0.4048073585024077,0.3659838068462925,0.0380709804001645,0.00769181945792996,0.021519368294080077,19.4375,11.2375,27.8,76.4375,61.49,0.0,9.0,0.0,-39.34,174.28,0.8660254037844386,0.5000000000000001
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2021-02-23,2021,3,1.1270051286892842,0,16.0,0.5110548914283618,0.3529490300891639,0.3259547563702014,0.0185629865180379,-0.038588972845249314,-0.05185832841324378,19.10625,11.74375,78.39999999999999,78.125,52.870000000000005,0.0,11.0,0.0,-39.34,174.28,0.8660254037844386,0.5000000000000001
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2021-03-11,2021,4,0.24789554628897828,0,16.0,0.5036273748829933,0.3477757196136652,0.3175787778352815,-0.0067581495181454,-0.007427516545368551,-0.0051733104754986825,20.64375,13.40625,16.2,80.125,53.56,0.0,10.0,0.0,-39.34,174.28,1.0,6.123233995736766e-17
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2021-03-27,2021,5,0.015860720020012955,0,16.0,0.5240601326031197,0.3663896295251515,0.3370290608476468,0.0139341721973337,0.020432757720126427,0.01861390991148626,17.25,10.34375,35.800000000000004,78.9375,41.19,0.0,10.0,0.0,-39.34,174.28,1.0,6.123233995736766e-17
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2021-04-12,2021,6,-1.2985636987002787,1,16.0,0.5230682102161183,0.3729884551774992,0.337829567185734,0.0544895211967015,-0.0009919223870014093,0.006598825652347706,18.43125,11.225,127.30000000000001,83.875,34.32,0.0,10.0,0.0,-39.34,174.28,0.8660254037844387,-0.4999999999999998
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2021-04-28,2021,7,0.889002037116319,0,16.0,0.526603430364935,0.40910582565186,0.3580447111380334,0.0806979795600551,0.0035352201488166868,0.03611737047436081,17.225,11.225,100.7,85.6875,24.54,0.0,8.0,0.0,-39.34,174.28,0.8660254037844387,-0.4999999999999998
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2021-05-14,2021,8,-3.4732051386400093,1,16.0,0.560370173288709,0.5031632220931673,0.362270134125908,0.099699339733334,0.03376674292377402,0.09405739644130734,14.93125,8.25625,26.700000000000003,83.375,23.75,0.0,13.0,0.0,-39.34,174.28,0.49999999999999994,-0.8660254037844387
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2021-05-30,2021,9,-1.1863143087390224,1,16.0,0.3722419018048471,0.3763933243270201,0.2537002309708181,0.2452978408946841,-0.18812827148386185,-0.12676989776614722,14.18125,8.71875,74.60000000000001,85.875,17.64,0.0,9.0,0.0,-39.34,174.28,0.49999999999999994,-0.8660254037844387
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2021-06-15,2021,10,-0.19333390001314846,0,16.0,0.5372454392529916,0.4549798165181533,0.3929591889087159,0.17327419703877,0.1650035374481445,0.07858649219113317,12.66875,7.11875,48.699999999999996,86.875,14.07,0.0,11.0,0.0,-39.34,174.28,1.2246467991473532e-16,-1.0
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2021-07-01,2021,11,-0.11757012973968398,0,16.0,0.5617974245836542,0.3625848347461804,0.3357097455672844,0.164180342496816,0.024551985330662607,-0.09239498177197286,12.875,8.1125,106.2,89.6875,11.0,0.0,8.0,0.0,-39.34,174.28,-0.4999999999999997,-0.8660254037844388
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2021-08-02,2021,13,-9.642443702877744,1,16.0,0.5448119668767748,0.382284945507905,0.3459364397150973,0.1137391881581035,0.06083846923253511,-0.07906818701761381,11.7125,7.09375,150.4,86.5,14.96,0.0,8.0,0.0,-39.34,174.28,-0.8660254037844385,-0.5000000000000004
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2021-08-18,2021,14,0.5297606924337298,0,16.0,0.4178602654129359,0.5106164526591415,0.353885570712213,0.1719162439787904,-0.12695170146383888,0.12833150715123648,11.8625,6.09375,59.9,84.9375,17.849999999999998,0.0,8.0,0.0,-39.34,174.28,-0.8660254037844385,-0.5000000000000004
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2021-10-21,2021,18,1.0860250859505032,0,16.0,0.579095040671725,0.3955679582915402,0.351287765203901,0.1240015098890343,0.034272557232969514,-0.0018987032368306123,14.26875,7.78125,108.5,83.3125,33.08,0.0,7.0,0.0,-39.34,174.28,-0.8660254037844386,0.5000000000000001
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2021-11-06,2021,19,0.8446579444314889,0,16.0,0.580519145139902,0.5100091792256864,0.4322553270433074,0.0767150924067062,0.0014241044681769788,0.11444122093414627,16.0875,10.5125,91.7,85.5,33.97,0.0,6.0,0.0,-39.34,174.28,-0.5000000000000004,0.8660254037844384
